stno: Observation's Number (Length: 6 digits)
yyyymmddhh: UTC Time, yyyy: year, mm: month, dd: day, hh: hour (Length: 11 digits)
Si: Significant Code (Length: 3 digits)
Press: Pressure (Uint: hpa, Length: 7 digits)
Heigh: Geopotential Height (Unit: gpm, Length: 6 digits)
Tx: Temperature (Unit: degrees Celsius, Length: 6 digits)
Td: Dew Point (Unit: degrees Celsius, Length: 6 digits)
Wd: Wind Direction (Unit: degrees 360, Length: 4 digits)
Ws: Wind Speed (Unit: m/s, Length: 6 digits)
RH: Relative Humidity (Unit: %, Length: 4 digits)
-----------------------------------------------------------
  stno yyyymmddhh Si  Press Heigh    Tx    Td  Wd    Ws  RH
-----------------------------------------------------------
466920 2020120100 01 1023.1 00011  18.4  17.6  76   2.8  95
466920 2020120100 06 1016.4 00069  18.0  16.4  63   5.0  90
466920 2020120100 06 1004.2 00170  17.2  16.1  71   8.0  92
466920 2020120100 10 1000.0 00207  16.9  15.9  70   8.5  93
466920 2020120100 06  966.8 00495  15.9  14.2  55  16.9  89
466920 2020120100 10  925.0 00868  13.3  12.5  57  18.4  95
466920 2020120100 02  887.2 01220  11.2  11.2  66  18.8 100
466920 2020120100 04  879.9 01289  11.1  11.1  70  19.2 100
466920 2020120100 10  850.0 01578   9.7   9.7  76  17.6 100
466920 2020120100 06  802.1 02059   7.3   7.3  89  17.4 100
466920 2020120100 02  725.1 02884   3.2   3.2 125  16.6  99
466920 2020120100 06  723.6 02904   3.2   3.1 126  16.6  99
466920 2020120100 02  706.9 03092   3.0   1.5 141  14.2  89
466920 2020120100 02  704.9 03114   3.8   0.7 143  14.0  80
466920 2020120100 10  700.0 03170   3.6   0.2 148  13.2  78
466920 2020120100 06  688.1 03311   3.1  -1.0 165  10.8  74
466920 2020120100 02  670.2 03522   2.3  -2.7 200   7.7  69
466920 2020120100 06  655.6 03701   2.0 -11.2 230   7.3  36
466920 2020120100 02  647.6 03801   1.8 -14.2 236   7.1  29
466920 2020120100 02  635.2 03954   3.4 -40.2 243   4.5   2
466920 2020120100 06  629.8 04026   2.9 -38.3 250   3.9   3
466920 2020120100 06  589.9 04550  -1.4 -38.2 235   5.7   4
466920 2020120100 06  561.0 04947  -4.4 -42.2 270   7.0   3
466920 2020120100 02  548.6 05123  -5.3 -45.5 269  12.1   2
466920 2020120100 02  536.7 05294  -4.6 -50.8 257  15.2   1
466920 2020120100 06  526.6 05446  -5.6 -51.3 252  15.0   1
466920 2020120100 10  500.0 05848  -7.7 -55.8 265  15.1   0
466920 2020120100 06  494.2 05940  -8.3 -56.0 269  15.6   0
466920 2020120100 02  411.8 07342 -13.8 -51.7 248  29.8   2
466920 2020120100 06  411.4 07348 -13.8 -51.5 247  29.8   2
466920 2020120100 02  403.2 07499 -13.5 -48.0 242  29.6   3
466920 2020120100 10  400.0 07561 -14.0 -46.9 241  29.3   4
466920 2020120100 04  323.9 09130 -24.7 -59.6 254  31.7   2
466920 2020120100 10  300.0 09682 -28.7 -60.5 247  30.3   3
466920 2020120100 02  279.8 10178 -33.3 -57.4 258  31.8   7
466920 2020120100 02  270.7 10407 -34.1 -65.2 256  31.9   2
466920 2020120100 05  257.9 10746 -37.2 -61.4 258  34.5   6
466920 2020120100 10  250.0 10959 -39.0 -62.4 255  31.7   6
466920 2020120100 04  212.3 12059 -48.2 -67.9 237  26.3   8
466920 2020120100 10  200.0 12449 -51.7 -69.9 232  28.5  10
466920 2020120100 06  184.4 12970 -56.0 -74.6 222  29.5   8
466920 2020120100 02  168.2 13547 -61.4 -74.7 223  28.4  16
466920 2020120100 10  150.0 14249 -66.8 -80.1 227  27.9  14
466920 2020120100 06  120.0 15561 -76.8 -84.3 236  26.7  30
466920 2020120100 02  117.7 15672 -77.8 -85.4 242  25.6  30
466920 2020120100 06  107.4 16194 -78.8 -86.7 265  23.3  28
466920 2020120100 03  101.1 16535 -81.1 -88.1 250  22.3  32
466920 2020120100 02  100.1 16596 -79.9 -87.6 245  22.1  28
466920 2020120100 10  100.0 16599 -79.9 -87.6 245  22.1  28
466920 2020120100 06   93.5 16979 -79.5 -87.9 244  25.6  25
466920 2020120100 06   89.0 17260 -79.5 -88.4 264  20.6  23
466920 2020120100 02   86.6 17412 -77.5 -88.1 251  18.0  18
466920 2020120100 06   84.6 17549 -78.0 -88.4 240  18.1  18
466920 2020120100 06   77.2 18070 -80.0 -89.0 272  14.6  23
466920 2020120100 02   75.7 18183 -80.9 -89.5 271  12.1  24
466920 2020120100 04   73.9 18314 -79.7 -89.4 254  10.3  20
466920 2020120100 06   72.7 18409 -78.9 -88.8 243  11.4  20
466920 2020120100 10   70.0 18624 -80.1 -90.2 243  14.2  19
466920 2020120100 02   69.6 18662 -80.0 -90.6 241  14.0  17
466920 2020120100 06   67.9 18793 -77.0 -90.7 231  14.9  10
466920 2020120100 02   66.6 18906 -71.9 -89.4 236  17.3   6
466920 2020120100 02   62.8 19251 -74.2 -91.1 250  20.9   6
466920 2020120100 04   62.4 19294 -73.8 -90.9 252  21.2   6
466920 2020120100 06   58.4 19680 -70.4 -92.0 283  17.6   3
466920 2020120100 06   56.8 19848 -68.6 -92.0 283  13.7   2
466920 2020120100 04   55.5 19984 -67.5 -92.1 261  10.2   2
466920 2020120100 06   54.3 20118 -66.4 -92.1 238  10.8   1
466920 2020120100 02   51.9 20395 -64.7 -91.9 228  10.0   1
466920 2020120100 06   50.7 20534 -64.4 -91.4 219   9.2   1
466920 2020120100 10   50.0 20620 -64.4 -91.3 210   8.3   1
466920 2020120100 06   48.9 20758 -63.7 -91.0 189   8.3   1
466920 2020120100 02   45.1 21256 -62.1 -90.6 242   6.0   1
466920 2020120100 06   45.0 21262 -62.1 -90.6 242   6.0   1
466920 2020120100 06   43.0 21548 -63.1 -90.2 237   7.2   1
466920 2020120100 06   41.1 21828 -63.2 -90.7 278   5.1   1
466920 2020120100 04   39.7 22044 -63.0 -90.7 285   2.5   1
466920 2020120100 02   36.5 22551 -63.5 -90.8 287   5.9   1
466920 2020120100 06   36.3 22594 -63.2 -91.0 288   5.7   1
466920 2020120100 06   34.7 22860 -59.9 -90.7 250   6.3   1
466920 2020120100 02   32.9 23200 -53.9 -88.6 250   7.5   0
466920 2020120100 06   32.6 23258 -53.7 -88.1 247   8.0   0
466920 2020120100 06   31.0 23588 -51.8 -86.1 195   8.9   0
466920 2020120100 02   30.3 23737 -51.7 -85.7 185   9.9   0
466920 2020120100 06   30.1 23777 -51.9 -85.6 185   9.7   0
466920 2020120100 10   30.0 23798 -52.1 -85.6 186   9.3   0
466920 2020120100 06   29.0 24024 -52.7 -85.8 217   7.2   0
466920 2020120100 06   27.6 24332 -53.2 -85.9 209   9.3   1
466920 2020120100 02   27.1 24451 -53.7 -86.3 218   8.9   1
466920 2020120100 06   26.2 24660 -52.0 -86.4 246   6.4   0
466920 2020120100 02   25.0 24987 -50.0 -85.1 238   9.9   0
466920 2020120100 06   24.3 25156 -50.8 -84.8 226   9.9   0
466920 2020120100 02   23.1 25480 -53.1 -85.8 243   7.7   1
466920 2020120100 02   21.9 25845 -50.5 -85.3 266   9.4   0
466920 2020120100 06   21.4 25991 -51.4 -85.2 269  11.2   0
466920 2020120100 02   20.8 26185 -52.4 -85.8 267   9.0   0
466920 2020120100 06   20.4 26305 -51.3 -86.0 254   9.2   0
466920 2020120100 10   20.0 26425 -49.9 -85.4 265   9.6   0
466920 2020120100 06   19.2 26693 -48.7 -85.0 274   8.0   0
466920 2020120100 06   18.2 27041 -47.2 -84.1 234   6.7   0
466920 2020120100 02   18.2 27050 -47.2 -84.1 234   6.7   0
466920 2020120100 02   18.2 27065 -47.2 -84.1 233   6.6   0
466920 2020120100 06   17.9 27171 -47.4 -84.0 224   5.0   0
466920 2020120100 04   15.6 28049 -49.2 -84.4 230   2.2   0
466920 2020120100 03   14.2 28680 -51.6 -85.3 325   4.9   0
466920 2020120100 06   13.8 28867 -51.4 -85.7 332   9.6   0
466920 2020120100 06   13.3 29114 -51.4 -85.6   7   5.1   0
466920 2020120100 04   12.9 29297 -51.5 -85.5 319   1.3   0
466920 2020120100 02   12.5 29487 -52.0 -85.8 251   4.1   0
466920 2020120100 06   12.4 29538 -51.8 -85.8 236   5.0   0
466920 2020120100 06   12.2 29652 -51.2 -85.9 224   6.8   0
466920 2020120100 06   11.5 30025 -48.0 -85.3 288   7.7   0
466920 2020120100 06   11.1 30290 -47.2 -84.7 318   8.7   0
466920 2020120100 06   10.8 30437 -45.4 -84.4 312  10.6   0
466920 2020120100 06   10.6 30602 -44.0 -83.6 309   5.2   0
466920 2020120100 04   10.4 30698 -43.9 -83.7 209   0.7   0
466920 2020120100 06   10.3 30805 -42.6 -83.0 143   5.0   0
466920 2020120100 12   10.0 30981 -41.8 -82.5 134  10.6   0
466920 2020120100 06    9.9 31043 -42.2 -82.5 135  10.9   0
466920 2020120100 06    9.2 31538 -43.9 -83.1 178   5.8   0
466920 2020120100 20    8.7 31896 -42.4 -82.7 118   2.7   0
466920 2020120112 01 1020.8 00011  19.2  17.4  71   2.9  89
466920 2020120112 10 1000.0 00189  18.2  15.1  78   8.9  82
466920 2020120112 06  942.9 00688  14.4  13.5  66  16.0  94
466920 2020120112 10  925.0 00850  13.1  12.8  72  17.1  98
466920 2020120112 04  922.4 00875  13.1  12.6  73  17.1  96
466920 2020120112 02  901.9 01064  11.7  11.4  78  16.3  98
466920 2020120112 10  850.0 01558   9.1   9.0  89  16.0  99
466920 2020120112 06  823.8 01818   8.1   8.1  96  16.2 100
466920 2020120112 06  785.5 02211   6.1   6.1 124  13.2  99
466920 2020120112 02  780.4 02264   5.9   5.8 131  13.7  99
466920 2020120112 02  756.8 02517   8.1   1.7 163   9.1  64
466920 2020120112 02  742.5 02673   8.0   0.2 190   6.1  58
466920 2020120112 02  713.8 02998   5.8   1.0 237   7.8  71
466920 2020120112 06  702.7 03126   5.2  -1.9 251   8.2  60
466920 2020120112 10  700.0 03158   5.0  -3.3 254   8.1  55
466920 2020120112 02  692.3 03248   4.7  -8.4 261   6.5  37
466920 2020120112 02  677.7 03423   7.2 -36.1 256   2.4   2
466920 2020120112 04  676.2 03440   7.1 -35.9 261   2.3   2
466920 2020120112 06  652.7 03730   4.8 -35.6 303   5.0   3
466920 2020120112 02  607.0 04318   1.9 -45.2 283   6.0   1
466920 2020120112 02  600.6 04403   3.1 -49.4 286   6.6   0
466920 2020120112 06  594.8 04481   2.7 -47.0 286   6.4   1
466920 2020120112 06  567.9 04853   0.2 -43.2 258   6.5   2
466920 2020120112 06  533.9 05344  -4.2 -37.2 283   7.4   5
466920 2020120112 02  509.5 05711  -7.2 -28.3 267   9.3  16
466920 2020120112 10  500.0 05857  -8.3 -30.7 257   9.6  14
466920 2020120112 06  492.5 05972  -9.3 -31.2 259   9.8  15
466920 2020120112 06  455.1 06580 -13.5 -38.8 281  16.2   9
466920 2020120112 02  446.9 06715 -14.2 -40.7 274  16.9   8
466920 2020120112 02  435.2 06917 -12.5 -47.3 265  20.8   3
466920 2020120112 10  400.0 07557 -15.6 -54.5 248  24.5   2
466920 2020120112 06  395.1 07650 -16.1 -55.5 243  24.9   1
466920 2020120112 06  354.5 08460 -20.6 -59.8 239  30.6   1
466920 2020120112 02  334.1 08894 -22.7 -63.3 246  28.7   1
466920 2020120112 10  300.0 09673 -28.5 -63.5 254  28.6   2
466920 2020120112 06  274.2 10311 -33.9 -64.1 258  27.1   3
466920 2020120112 10  250.0 10950 -38.7 -67.1 251  28.4   3
466920 2020120112 02  231.6 11473 -42.6 -68.7 246  27.0   4
466920 2020120112 04  229.6 11529 -43.1 -69.0 245  26.6   4
466920 2020120112 10  200.0 12444 -51.6 -71.6 235  29.4   7
466920 2020120112 06  198.6 12488 -52.0 -72.3 234  29.9   7
466920 2020120112 02  176.6 13241 -58.4 -70.3 241  33.0  21
466920 2020120112 02  174.2 13325 -58.9 -68.4 240  34.0  29
466920 2020120112 02  156.8 13978 -63.4 -79.1 234  35.5  11
466920 2020120112 05  152.6 14143 -65.0 -78.0 234  35.8  15
466920 2020120112 10  150.0 14248 -66.0 -77.8 235  35.5  18
466920 2020120112 02  124.6 15346 -75.4 -81.2 245  30.0  41
466920 2020120112 02  124.4 15358 -75.5 -81.2 245  30.0  41
466920 2020120112 03  101.9 16493 -81.7 -87.2 248  19.2  41
466920 2020120112 12  100.0 16596 -81.4 -87.2 251  20.4  39
466920 2020120112 06   95.9 16829 -81.1 -88.5 265  20.6  30
466920 2020120112 02   88.9 17263 -76.5 -88.1 239  16.2  15
466920 2020120112 06   87.0 17390 -77.7 -88.5 231  16.6  17
466920 2020120112 03   78.7 17951 -82.5 -89.2 222  19.8  33
466920 2020120112 02   75.0 18221 -83.1 -89.7 224  18.5  33
466920 2020120112 02   73.5 18335 -82.6 -91.2 223  18.7  23
466920 2020120112 06   73.4 18342 -82.4 -91.2 223  18.7  23
466920 2020120112 02   70.6 18566 -73.2 -88.2 248  15.0   9
466920 2020120112 10   70.0 18615 -73.2 -89.2 254  15.1   8
466920 2020120112 06   67.8 18804 -74.2 -91.3 265  14.4   6
466920 2020120112 02   67.4 18833 -74.3 -91.3 266  13.7   6
466920 2020120112 06   64.8 19064 -72.4 -90.6 267   6.6   5
466920 2020120112 06   63.2 19219 -71.9 -90.8 255   8.4   5
466920 2020120112 06   60.8 19446 -70.6 -90.9 204  10.0   4
466920 2020120112 06   55.8 19946 -70.0 -91.0 212  13.5   3
466920 2020120112 02   54.9 20048 -70.4 -91.8 222  14.9   3
466920 2020120112 04   52.7 20291 -67.5 -91.8 245  18.5   2
466920 2020120112 06   50.9 20498 -66.7 -91.9 267  16.0   1
466920 2020120112 10   50.0 20611 -66.1 -92.1 269  14.2   1
466920 2020120112 06   48.6 20781 -65.1 -92.4 280  12.3   1
466920 2020120112 06   46.6 21043 -62.6 -91.4 262  12.8   1
466920 2020120112 06   44.7 21298 -61.1 -90.4 272   9.1   1
466920 2020120112 02   42.2 21658 -59.0 -89.8 242   6.2   1
466920 2020120112 06   41.3 21790 -59.4 -89.7 225   5.5   1
466920 2020120112 06   39.1 22142 -59.4 -89.5 219   6.7   1
466920 2020120112 02   37.1 22456 -58.9 -89.3 235  12.7   1
466920 2020120112 06   36.8 22513 -58.5 -89.2 239  13.1   1
466920 2020120112 06   35.2 22786 -56.3 -88.8 271   9.7   0
466920 2020120112 06   33.0 23200 -54.2 -87.4 228   7.7   0
466920 2020120112 02   32.5 23301 -52.7 -86.9 226   7.6   0
466920 2020120112 10   30.0 23824 -52.7 -85.9 219  11.1   0
466920 2020120112 06   29.5 23931 -52.9 -86.1 219  10.6   0
466920 2020120112 06   28.4 24181 -51.6 -86.1 238   9.4   0
466920 2020120112 02   26.5 24626 -50.5 -85.2 218   5.7   0
466920 2020120112 06   26.4 24644 -50.6 -85.2 217   5.5   0
466920 2020120112 04   26.2 24710 -50.6 -85.1 224   5.3   0
466920 2020120112 06   25.1 24987 -51.2 -85.4 283   6.7   0
466920 2020120112 06   23.1 25530 -51.0 -85.1 277   6.4   0
466920 2020120112 06   22.4 25706 -51.9 -85.4 256   6.2   0
466920 2020120112 06   21.5 25984 -52.6 -85.9 280   6.6   0
466920 2020120112 16   20.0 26451 -52.8 -86.3 277   5.5   0
466920 2020120112 06   19.3 26675 -52.6 -86.0 305   7.2   0
466920 2020120112 02   18.4 26970 -53.6 -86.3 297   7.5   0
466920 2020120112 06   18.3 27012 -53.5 -86.3 297   7.9   0
466920 2020120112 02   14.6 28507 -48.8 -84.4 337   7.1   0
466920 2020120112 06   13.8 28846 -50.3 -84.6 346   7.1   0
466920 2020120112 06   13.1 29210 -50.8 -85.1 339   6.7   0
466920 2020120112 02   12.6 29435 -50.7 -85.3 351   7.9   0
466920 2020120112 06   12.2 29654 -49.2 -84.9   4   7.3   0
466920 2020120112 06   11.6 30020 -45.7 -84.0   6   5.5   0
466920 2020120112 06   11.2 30252 -44.8 -83.4  68   5.2   0
466920 2020120112 06   10.9 30397 -43.3 -82.9  72   7.7   0
466920 2020120112 06   10.3 30794 -42.0 -81.9  32   6.2   0
466920 2020120112 06   10.1 30922 -42.0 -82.1  37   6.6   0
466920 2020120112 12   10.0 30997 -41.0 -81.6  52   7.3   0
466920 2020120112 20    9.6 31269 -41.2 -81.5  89   9.7   0
466920 2020120200 01 1020.7 00011  18.1  17.1  74   2.3  94
466920 2020120200 10 1000.0 00186  16.9  15.3  57   5.0  90
466920 2020120200 06  988.1 00288  16.1  14.7  43   7.8  91
466920 2020120200 06  936.3 00745  13.0  12.9  47  15.6  99
466920 2020120200 10  925.0 00847  12.5  12.3  51  15.5  98
466920 2020120200 02  878.6 01278  10.0  10.0  63  14.4 100
466920 2020120200 10  850.0 01553   9.3   9.2  76  17.4  99
466920 2020120200 04  845.3 01600   9.2   9.1  76  17.5  99
466920 2020120200 02  828.8 01762   9.2   7.3  83  14.7  88
466920 2020120200 06  777.1 02298   5.3   5.3 102  11.5 100
466920 2020120200 06  755.9 02519   4.4   3.8 133  12.0  95
466920 2020120200 02  754.8 02530   4.4   3.7 133  11.8  95
466920 2020120200 02  745.5 02632   6.0   0.1 136   9.7  65
466920 2020120200 06  729.4 02812   4.6  -0.3 143   7.1  70
466920 2020120200 02  721.4 02903   3.8  -1.0 162   5.5  70
466920 2020120200 06  711.4 03017   5.2  -6.5 196   5.7  42
466920 2020120200 10  700.0 03148   6.6 -17.1 203   5.8  16
466920 2020120200 06  696.1 03193   8.5 -32.3 202   5.1   3
466920 2020120200 02  694.0 03218   8.6 -34.8 201   4.7   2
466920 2020120200 02  676.5 03428   7.0 -36.9 204   3.3   2
466920 2020120200 04  655.5 03688   7.8 -41.7 246   1.5   1
466920 2020120200 02  637.3 03918   6.8 -32.5 288   4.6   4
466920 2020120200 02  636.3 03931   6.8 -32.9 288   4.8   3
466920 2020120200 06  634.9 03949   6.8 -33.6 288   5.0   3
466920 2020120200 06  612.9 04238   4.7 -34.7 266   6.1   3
466920 2020120200 06  574.1 04764   0.6 -33.8 255   9.3   5
466920 2020120200 06  533.5 05348  -4.1 -37.7 274  11.7   5
466920 2020120200 06  508.4 05724  -7.5 -38.4 253  10.5   6
466920 2020120200 10  500.0 05854  -8.7 -39.3 255  10.8   6
466920 2020120200 02  487.6 06048 -10.5 -39.9 256  12.4   6
466920 2020120200 02  424.3 07106 -16.9 -45.9 253  20.4   6
466920 2020120200 02  418.0 07219 -15.4 -48.1 251  22.3   4
466920 2020120200 10  400.0 07551 -16.0 -57.0 246  25.2   1
466920 2020120200 04  387.6 07787 -17.3 -58.1 240  28.4   1
466920 2020120200 02  373.1 08071 -18.7 -60.5 240  29.2   1
466920 2020120200 10  300.0 09660 -30.0 -64.3 251  30.7   2
466920 2020120200 04  292.9 09830 -31.1 -62.8 252  33.7   2
466920 2020120200 04  263.9 10561 -36.6 -61.6 249  29.8   5
466920 2020120200 10  250.0 10935 -38.8 -67.6 254  30.1   3
466920 2020120200 02  235.8 11334 -41.8 -71.5 245  31.4   2
466920 2020120200 10  200.0 12423 -52.2 -73.0 236  30.9   6
466920 2020120200 02  175.7 13248 -59.8 -73.7 243  31.9  15
466920 2020120200 04  171.3 13402 -60.8 -74.8 240  31.3  14
466920 2020120200 02  164.0 13673 -62.2 -72.3 241  34.6  25
466920 2020120200 05  150.4 14203 -66.0 -77.0 238  39.8  21
466920 2020120200 10  150.0 14222 -66.2 -77.4 238  39.8  20
466920 2020120200 02  115.8 15745 -77.1 -87.8 251  31.8  18
466920 2020120200 12  100.0 16581 -79.7 -89.2 255  23.4  21
466920 2020120200 03   98.1 16689 -80.2 -89.2 253  22.0  23
466920 2020120200 06   93.4 16972 -78.9 -88.5 234  22.1  21
466920 2020120200 06   87.2 17359 -78.6 -88.3 261  18.3  21
466920 2020120200 04   83.4 17612 -79.6 -88.7 247  14.7  23
466920 2020120200 06   79.3 17898 -78.2 -88.8 222  16.8  18
466920 2020120200 04   71.2 18514 -77.2 -90.0 270  20.1  12
466920 2020120200 10   70.0 18610 -76.3 -89.5 277  19.1  12
466920 2020120200 06   68.9 18704 -76.5 -89.5 284  17.6  12
466920 2020120200 02   67.2 18844 -77.3 -90.2 287  13.3  12
466920 2020120200 06   67.0 18858 -77.2 -90.2 286  12.7  12
466920 2020120200 04   65.9 18954 -76.1 -90.1 267  10.3  10
466920 2020120200 06   64.6 19068 -74.3 -89.9 241  11.2   8
466920 2020120200 06   58.7 19636 -69.8 -92.5 240  15.6   2
466920 2020120200 06   54.4 20097 -66.9 -92.8 264  12.0   1
466920 2020120200 02   52.9 20259 -65.9 -92.7 264   8.4   1
466920 2020120200 06   52.7 20283 -65.9 -92.7 262   8.1   1
466920 2020120200 04   51.8 20383 -65.7 -92.5 245   7.0   1
466920 2020120200 06   51.2 20460 -65.8 -92.4 233   7.7   1
466920 2020120200 10   50.0 20604 -64.9 -92.3 235   9.3   1
